Shape,Result,Number,Time
<http://example.org/lungCancer/shapes/Protocol2>,valid,519,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,257,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,605,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,554,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,56,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,236,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,539,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,507,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,630,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,1,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,violated,2,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,588,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,457,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,23,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,180,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,371,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,81,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,398,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,241,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,violated,6,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,379,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,289,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,583,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,193,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,92,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,409,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,135,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,418,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,272,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,505,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,591,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,63,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,109,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,286,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,594,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,487,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,158,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,363,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,522,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,118,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,413,5.100670576095581
