Body,Head,Head_Coverage,Standard_Confidence,PCA_Confidence,Support,Body_Size,Pca_Body_Size,Functional_variable
?a  smokingHabit  ?d  ?a  stage  ?d   ,?a  smokingHabit  Unknown,0.0159,1,1,159,159,159,?a
?a  biomarker  ?d  ?a  smokingHabit  ?d   ,?a  smokingHabit  Unknown,0.0792,1,1,792,792,792,?a
?a  biomarker  ?d  ?a  stage  ?d   ,?a  biomarker  Unknown,0.016802,1,1,205,205,205,?a
?a  biomarker  ?d  ?a  smokingHabit  ?d   ,?a  biomarker  Unknown,0.064913,1,1,792,792,792,?a
?a  smokingHabit  ?d  ?a  stage  ?d   ,?a  stage  Unknown,0.0159,1,1,159,159,159,?a
?a  biomarker  ?d  ?a  stage  ?d   ,?a  stage  Unknown,0.0205,1,1,205,205,205,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.039,0.549296,0.549296,390,710,710,?a
?a  biomarker  ?d  ?a  stage  ?d   ,?a  ageCategory  old,0.0112,0.546341,0.546341,112,205,205,?a
?a  drug  Nivolumab  ?a  drug  Vinorelbine   ,?a  sex  male,0.0471,0.545139,0.545139,471,864,864,?a
?a  drug  Nivolumab  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.0466,0.545029,0.545029,466,855,855,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.0386,0.543662,0.543662,386,710,710,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  sex  male,0.039,0.54242,0.54242,390,719,719,?a
?a  biomarker  ALK_Positive  ?a  biomarker  EGFR_Positive   ,?a  ageCategory  old,0.0387,0.539749,0.539749,387,717,717,?a
?a  drug  Afatinib  ?a  smokingHabit  CurrentSmoker   ,?a  sex  male,0.0463,0.538999,0.538999,463,859,859,?a
?a  drug  Vinorelbine  ?a  smokingHabit  CurrentSmoker   ,?a  sex  male,0.0477,0.538983,0.538983,477,885,885,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.0395,0.538147,0.538147,395,734,734,?a
?a  comorbidity  Others  ?a  drug  Nivolumab   ,?a  ageCategory  old,0.0763,0.537703,0.537703,763,1419,1419,?a
?a  drug  Carboplatin  ?a  drug  Nivolumab   ,?a  sex  male,0.0462,0.537209,0.537209,462,860,860,?a
?a  drug  Afatinib  ?a  drug  Nivolumab   ,?a  sex  male,0.0463,0.537123,0.537123,463,862,862,?a
?a  ageCategory  old  ?a  drug  Carboplatin   ,?a  sex  male,0.093,0.536952,0.536952,930,1732,1732,?a
?a  biomarker  Unknown  ?a  drug  Carboplatin   ,?a  hasRelapse  No,0.0606,0.536758,0.536758,606,1129,1129,?a
?a  drug  Vinorelbine  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.0475,0.536723,0.536723,475,885,885,?a
?a  biomarker  ALK_Positive  ?a  drug  Vinorelbine   ,?a  sex  male,0.0582,0.536406,0.536406,582,1085,1085,?a
?a  drug  Afatinib  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.0477,0.535955,0.535955,477,890,890,?a
?a  biomarker  EGFR_Positive  ?a  drug  Cisplatin   ,?a  ageCategory  old,0.0553,0.535334,0.535334,553,1033,1033,?a
?a  biomarker  EGFR_Positive  ?a  drug  Nivolumab   ,?a  ageCategory  old,0.0519,0.535052,0.535052,519,970,970,?a
?a  drug  Afatinib  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.0459,0.534342,0.534342,459,859,859,?a
?a  drug  Carboplatin  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.0447,0.533413,0.533413,447,838,838,?a
?a  hasRelapse  Yes  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.0671,0.533386,0.533386,671,1258,1258,?a
?a  biomarker  ALK_Positive  ?a  drug  Carboplatin   ,?a  sex  male,0.0568,0.533333,0.533333,568,1065,1065,?a
?a  drug  Cisplatin  ?a  smokingHabit  Unknown   ,?a  hasRelapse  No,0.0469,0.532955,0.532955,469,880,880,?a
?a  drug  Nivolumab  ?a  smokingHabit  Unknown   ,?a  sex  male,0.0437,0.532927,0.532927,437,820,820,?a
?a  drug  Carboplatin  ?a  drug  Vinorelbine   ,?a  sex  male,0.0494,0.532328,0.532328,494,928,928,?a
?a  ageCategory  old  ?a  biomarker  ROS1_Positive   ,?a  sex  male,0.0789,0.53203,0.53203,789,1483,1483,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Depression   ,?a  ageCategory  old,0.0655,0.531656,0.531656,655,1232,1232,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.042,0.531646,0.531646,420,790,790,?a
?a  biomarker  ALK_Positive  ?a  drug  Cisplatin   ,?a  sex  male,0.0559,0.531369,0.531369,559,1052,1052,?a
?a  ageCategory  young  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.0671,0.531275,0.531275,671,1263,1263,?a
?a  biomarker  Unknown  ?a  smokingHabit  NonSmoker   ,?a  sex  female,0.044,0.53076,0.53076,440,829,829,?a
?a  drug  Carboplatin  ?a  drug  Cisplatin   ,?a  hasRelapse  No,0.0493,0.530678,0.530678,493,929,929,?a
?a  biomarker  EGFR_Positive  ?a  sex  male   ,?a  ageCategory  old,0.0778,0.530334,0.530334,778,1467,1467,?a
?a  biomarker  Unknown  ?a  comorbidity  Others   ,?a  ageCategory  old,0.0736,0.530259,0.530259,736,1388,1388,?a
?a  biomarker  ALK_Positive  ?a  drug  Nivolumab   ,?a  sex  male,0.0522,0.529949,0.529949,522,985,985,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.0399,0.52988,0.52988,399,753,753,?a
?a  comorbidity  Others  ?a  drug  Afatinib   ,?a  hasRelapse  Yes,0.0774,0.529774,0.529774,774,1461,1461,?a
?a  biomarker  ALK_Positive  ?a  biomarker  ROS1_Positive   ,?a  sex  male,0.0392,0.52973,0.52973,392,740,740,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.0405,0.528721,0.528721,405,766,766,?a
?a  drug  Nivolumab  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.0452,0.528655,0.528655,452,855,855,?a
?a  comorbidity  Others  ?a  drug  Afatinib   ,?a  ageCategory  old,0.0772,0.528405,0.528405,772,1461,1461,?a
?a  drug  Afatinib  ?a  drug  Carboplatin   ,?a  sex  male,0.0493,0.528403,0.528403,493,933,933,?a
?a  biomarker  ROS1_Positive  ?a  drug  Nivolumab   ,?a  sex  male,0.0555,0.528069,0.528069,555,1051,1051,?a
?a  drug  Carboplatin  ?a  smokingHabit  Unknown   ,?a  hasRelapse  No,0.0461,0.528064,0.528064,461,873,873,?a
?a  drug  Carboplatin  ?a  sex  male   ,?a  ageCategory  old,0.093,0.52751,0.52751,930,1763,1763,?a
?a  ageCategory  old  ?a  comorbidity  Cardiopathy   ,?a  sex  male,0.1099,0.527351,0.527351,1099,2084,2084,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.0542,0.527237,0.527237,542,1028,1028,?a
?a  drug  Carboplatin  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.0489,0.52694,0.52694,489,928,928,?a
?a  comorbidity  Depression  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.0549,0.526366,0.526366,549,1043,1043,?a
?a  comorbidity  Others  ?a  drug  Cisplatin   ,?a  ageCategory  old,0.0782,0.526245,0.526245,782,1486,1486,?a
?a  drug  Carboplatin  ?a  sex  female   ,?a  ageCategory  young,0.089,0.526005,0.526005,890,1692,1692,?a
?a  ageCategory  old  ?a  biomarker  ALK_Positive   ,?a  sex  male,0.08,0.52597,0.52597,800,1521,1521,?a
?a  biomarker  EGFR_Positive  ?a  hasRelapse  No   ,?a  ageCategory  old,0.0763,0.525844,0.525844,763,1451,1451,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.0378,0.52573,0.52573,378,719,719,?a
?a  biomarker  ROS1_Positive  ?a  sex  female   ,?a  ageCategory  young,0.0769,0.525632,0.525632,769,1463,1463,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.037,0.525568,0.525568,370,704,704,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.0402,0.52549,0.52549,402,765,765,?a
?a  biomarker  Unknown  ?a  comorbidity  Diabetes_Mellitus   ,?a  ageCategory  young,0.0715,0.525349,0.525349,715,1361,1361,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  Unknown   ,?a  hasRelapse  No,0.0405,0.525292,0.525292,405,771,771,?a
?a  comorbidity  Depression  ?a  drug  Carboplatin   ,?a  hasRelapse  No,0.0776,0.525034,0.525034,776,1478,1478,?a
?a  drug  Nivolumab  ?a  smokingHabit  Unknown   ,?a  ageCategory  old,0.043,0.52439,0.52439,430,820,820,?a
?a  biomarker  Unknown  ?a  drug  Nivolumab   ,?a  ageCategory  old,0.057,0.524379,0.524379,570,1087,1087,?a
?a  biomarker  EGFR_Positive  ?a  drug  Carboplatin   ,?a  sex  male,0.0519,0.524242,0.524242,519,990,990,?a
?a  drug  Carboplatin  ?a  smokingHabit  CurrentSmoker   ,?a  sex  male,0.0446,0.524089,0.524089,446,851,851,?a
?a  drug  Vinorelbine  ?a  smokingHabit  Unknown   ,?a  hasRelapse  No,0.0449,0.523921,0.523921,449,857,857,?a
?a  drug  Cisplatin  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.0472,0.523862,0.523862,472,901,901,?a
?a  comorbidity  Depression  ?a  smokingHabit  Unknown   ,?a  hasRelapse  No,0.0551,0.523764,0.523764,551,1052,1052,?a
?a  biomarker  EGFR_Positive  ?a  drug  Cisplatin   ,?a  hasRelapse  No,0.0541,0.523717,0.523717,541,1033,1033,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  ageCategory  old,0.0663,0.523697,0.523697,663,1266,1266,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.059,0.523514,0.523514,590,1127,1127,?a
?a  biomarker  Unknown  ?a  drug  Nivolumab   ,?a  hasRelapse  No,0.0569,0.523459,0.523459,569,1087,1087,?a
?a  drug  Vinorelbine  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.0463,0.523164,0.523164,463,885,885,?a
?a  comorbidity  Others  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.0601,0.523064,0.523064,601,1149,1149,?a
?a  drug  Cisplatin  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.0478,0.522976,0.522976,478,914,914,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.04,0.522876,0.522876,400,765,765,?a
?a  drug  Nivolumab  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.043,0.522479,0.522479,430,823,823,?a
?a  drug  Vinorelbine  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.049,0.522388,0.522388,490,938,938,?a
?a  biomarker  EGFR_Positive   ,?a  ageCategory  old,0.1521,0.522321,0.522321,1521,2912,2912,?a
?a  biomarker  ?d  ?a  stage  ?d   ,?a  hasRelapse  No,0.0107,0.521951,0.521951,107,205,205,?a
?a  ageCategory  old  ?a  drug  Carboplatin   ,?a  hasRelapse  No,0.0904,0.52194,0.52194,904,1732,1732,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.0393,0.521912,0.521912,393,753,753,?a
?a  drug  Nivolumab  ?a  hasRelapse  Yes   ,?a  sex  male,0.0873,0.521817,0.521817,873,1673,1673,?a
?a  comorbidity  Cardiopathy  ?a  drug  Nivolumab   ,?a  sex  male,0.0745,0.521709,0.521709,745,1428,1428,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Cardiopathy   ,?a  sex  male,0.0651,0.521635,0.521635,651,1248,1248,?a
?a  biomarker  EGFR_Positive  ?a  biomarker  ROS1_Positive   ,?a  hasRelapse  Yes,0.0388,0.521505,0.521505,388,744,744,?a
?a  comorbidity  Others  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.0546,0.52149,0.52149,546,1047,1047,?a
?a  biomarker  Unknown  ?a  comorbidity  Cardiopathy   ,?a  ageCategory  young,0.0733,0.521337,0.521337,733,1406,1406,?a
?a  hasRelapse  No  ?a  smokingHabit  CurrentSmoker   ,?a  sex  male,0.0625,0.521268,0.521268,625,1199,1199,?a
?a  comorbidity  Cardiopathy  ?a  drug  Vinorelbine   ,?a  sex  male,0.0774,0.521212,0.521212,774,1485,1485,?a
?a  biomarker  Unknown  ?a  smokingHabit  CurrentSmoker   ,?a  sex  male,0.0423,0.520936,0.520936,423,812,812,?a
?a  sex  female  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.0624,0.520868,0.520868,624,1198,1198,?a
?a  comorbidity  Others  ?a  smokingHabit  Unknown   ,?a  sex  female,0.055,0.520833,0.520833,550,1056,1056,?a
?a  drug  Cisplatin  ?a  drug  Vinorelbine   ,?a  ageCategory  old,0.0476,0.520788,0.520788,476,914,914,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  Unknown   ,?a  hasRelapse  No,0.0552,0.520755,0.520755,552,1060,1060,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Cardiopathy   ,?a  sex  male,0.064,0.520749,0.520749,640,1229,1229,?a
?a  ageCategory  old  ?a  comorbidity  Depression   ,?a  sex  male,0.1107,0.520696,0.520696,1107,2126,2126,?a
?a  drug  Cisplatin  ?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.0469,0.520533,0.520533,469,901,901,?a
?a  drug  Cisplatin  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.0444,0.520516,0.520516,444,853,853,?a
?a  drug  Vinorelbine  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.0488,0.520256,0.520256,488,938,938,?a
?a  biomarker  ROS1_Positive  ?a  drug  Vinorelbine   ,?a  sex  male,0.0554,0.520188,0.520188,554,1065,1065,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Nivolumab   ,?a  sex  male,0.0749,0.520139,0.520139,749,1440,1440,?a
?a  sex  female  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.0623,0.520033,0.520033,623,1198,1198,?a
?a  drug  Carboplatin  ?a  drug  Nivolumab   ,?a  ageCategory  old,0.0447,0.519767,0.519767,447,860,860,?a
?a  biomarker  EGFR_Positive  ?a  drug  Nivolumab   ,?a  sex  male,0.0504,0.519588,0.519588,504,970,970,?a
?a  comorbidity  Diabetes_Mellitus  ?a  comorbidity  Others   ,?a  ageCategory  old,0.072,0.519481,0.519481,720,1386,1386,?a
?a  sex  male  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.0654,0.51946,0.51946,654,1259,1259,?a
?a  biomarker  ROS1_Positive  ?a  hasRelapse  No   ,?a  sex  male,0.0767,0.519296,0.519296,767,1477,1477,?a
?a  biomarker  ROS1_Positive  ?a  drug  Afatinib   ,?a  sex  male,0.0528,0.519174,0.519174,528,1017,1017,?a
?a  ageCategory  old  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.0654,0.519048,0.519048,654,1260,1260,?a
?a  biomarker  Unknown  ?a  sex  male   ,?a  hasRelapse  No,0.0847,0.518995,0.518995,847,1632,1632,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  sex  male,0.0657,0.518957,0.518957,657,1266,1266,?a
?a  comorbidity  Depression  ?a  drug  Nivolumab   ,?a  sex  male,0.0726,0.518942,0.518942,726,1399,1399,?a
?a  comorbidity  Others  ?a  drug  Nivolumab   ,?a  hasRelapse  No,0.0736,0.518675,0.518675,736,1419,1419,?a
?a  comorbidity  Cardiopathy  ?a  sex  female   ,?a  ageCategory  young,0.1061,0.518573,0.518573,1061,2046,2046,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Cisplatin   ,?a  hasRelapse  No,0.0769,0.518543,0.518543,769,1483,1483,?a
?a  ageCategory  old  ?a  smokingHabit  CurrentSmoker   ,?a  sex  male,0.0619,0.518425,0.518425,619,1194,1194,?a
?a  ageCategory  young  ?a  drug  Nivolumab   ,?a  sex  male,0.0846,0.518382,0.518382,846,1632,1632,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Others   ,?a  ageCategory  old,0.072,0.518359,0.518359,720,1389,1389,?a
?a  ageCategory  old  ?a  drug  Vinorelbine   ,?a  sex  male,0.0922,0.518269,0.518269,922,1779,1779,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Vinorelbine   ,?a  sex  male,0.0766,0.518268,0.518268,766,1478,1478,?a
?a  comorbidity  Cardiopathy  ?a  hasRelapse  No   ,?a  sex  male,0.1089,0.518078,0.518078,1089,2102,2102,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Cisplatin   ,?a  sex  male,0.0768,0.517869,0.517869,768,1483,1483,?a
