Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?a  patientDrug  Osimertinib   ,?a  treatmentType  Molecular_Targeted_Therapy,0.015458605,1,1,45,45,45,?a
?a  treatmentType  Chemoradiotherapy_Adjuvant   ,?a  hasRelapse_Progression  Progression,0.012,1,1,12,12,12,?a
?a  hasBiomarker  RET_Negative  ?a  hasStage  IIIA   ,?a  hasBiomarker  BRAF_Negative,0.013043478,1,1,21,21,21,?a
?a  hasBiomarker  RET_Negative  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  BRAF_Negative,0.010559006,1,1,17,17,17,?a
?a  hasBiomarker  RET_Negative  ?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasBiomarker  BRAF_Negative,0.011180124,1,1,18,18,18,?a
?a  hasBiomarker  ALK_Negative  ?a  hasBiomarker  RET_Negative   ,?a  hasBiomarker  ROS1_Negative,0.031677019,1,1,51,51,51,?a
?a  hasBiomarker  RET_Negative  ?a  hasStage  IIIA   ,?a  hasBiomarker  ROS1_Negative,0.013043478,1,1,21,21,21,?a
?a  hasBiomarker  BRAF_Negative  ?a  hasStage  IVB   ,?a  hasBiomarker  ROS1_Negative,0.016149068,1,1,26,26,26,?a
?a  hasBiomarker  RET_Negative  ?a  patientDrug  Carboplatin   ,?a  hasGender  Male,0.013687601,1,1,17,17,17,?a
?a  patientDrug  Erlotinib  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasRelapse_Progression  Progression,0.013,0.928571429,1,13,14,13,?a
?a  patientDrug  Docetaxel  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasRelapse_Progression  Progression,0.021,0.954545455,1,21,22,21,?a
?a  hasBiomarker  BRAF_Negative  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasRelapse_Progression  Progression,0.011,0.785714286,1,11,14,11,?a
?a  patientDrug  Cisplatin  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasRelapse_Progression  Progression,0.038,0.974358974,1,38,39,38,?a
